city,state,latitude,longitude,number_of_victim_fatalities,number_of_victims_injured,total_number_of_victims,date,shooter_age(s),shooter_sex,shooter_race,type_of_gun,total_number_of_guns,shooter_cause_of_death,place_type,relationship_to_incident_location,targeted_victims,possible_motive,history_of_mental_illness,military_experience
Austin,Texas,30.1988873,-97.84415949,16.0,32.0,48.0,1966-08-01,25,Male,White American or European American,Multiple guns,7,Killed,College/University/Adult education,Place of schooling,General public,Mental illness,Yes,Yes
Mesa,Arizona,33.42268696,-111.8163202,5.0,1.0,6.0,1966-11-12,18,Male,White American or European American,Handgun,1,Not applicable,College/University/Adult education,None,Students/Classmates/Teacher,Mental illness,Yes,Unknown
New Orleans,Louisiana,30.0687242,-89.93147412,9.0,13.0,22.0,2072-12-31,23,Male,Black American or African American,Multiple guns,2,Killed,Government facility,Local government,Government,Race,Yes,Unknown
Chicago,Illinois,41.83928045,-87.68818145,1.0,3.0,4.0,1974-01-17,14,Male,Unknown,Handgun,2,Not applicable,Primary school,Place of schooling,Students/Classmates/Teacher,Expulsion/Suspension,Yes,Unknown
Olean,New York,42.08185369,-78.43213922,3.0,7.0,10.0,1974-12-30,17,Male,White American or European American,Multiple guns,2,Not applicable,Secondary school,Place of schooling,General public,Mental illness,No,Unknown
Los Angeles,California,34.17622092,-118.5399542,1.0,7.0,8.0,1976-02-19,18,Male,White American or European American,Shotgun,1,Not applicable,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Social dispute,Unknown,Unknown
Fullerton,California,33.88404244,-117.92785,7.0,2.0,9.0,1976-07-12,37,Male,White American or European American,Rifle,1,Not applicable,College/University/Adult education,Place of business/employment,Colleague/Workmate/Business acquaintance,Mental illness,Yes,Unknown
San Diego,California,32.86357277,-117.1281628,2.0,9.0,11.0,1979-01-29,16,Female,White American or European American,Rifle,1,Not applicable,Primary school,Place of residency,Students/Classmates/Teacher,Mental illness,Yes,Unknown
Columbia,South Carolina,34.05098834,-80.82077527,2.0,5.0,7.0,1979-10-06,19,Male,Black American or African American,Handgun,1,Not applicable,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Unknown,Unknown,Unknown
Las Vegas,Nevada,36.18931923,-115.3264875,1.0,2.0,3.0,1982-03-19,17,Male,White American or European American,Handgun,1,Not applicable,Secondary school,Place of schooling,Students/Classmates/Teacher,Multiple motives,Yes,Unknown
Miami,Florida,25.79653943,-80.20840397,8.0,3.0,11.0,1982-08-20,51,Male,White American or European American,Shotgun,1,Killed,Retail/Wholesale/Services facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Mental illness,Yes,Unknown
Seattle,Washington,47.62199575,-122.323646,13.0,1.0,14.0,1983-02-18,22/24/22,Male,Asian American,Handgun,2,Not applicable,Entertainment venue,Place of recreation,General public,Financial difficulties,Unknown,Unknown
Johnston,South Carolina,33.83272887,-81.8051584,1.0,3.0,4.0,1983-08-19,55,Male,White American or European American,Shotgun,1,Not applicable,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Multiple motives,Yes,Unknown
Los Angeles,California,34.17622092,-118.5399542,2.0,12.0,14.0,1984-02-24,28,Male,Black American or African American,Multiple guns,3,Suicide,Primary school,Place of residency,Students/Classmates/Teacher,Multiple motives,Yes,Unknown
Dallas,Texas,32.79480596,-96.76631094,6.0,1.0,7.0,1984-06-29,39,Male,White American or European American,Handgun,1,Not applicable,Entertainment venue,Place of recreation,Social,Social dispute,Yes,Unknown
San Ysidro,California,32.555556,-117.047656,21.0,19.0,40.0,1984-07-18,41,Male,White American or European American,Multiple guns,3,Killed,Restaurant/Cafe?,Place of recreation,General public,Multiple motives,Yes,Unknown
