case_id,city,state,latitude,longitude,number_of_victim_fatalities,number_of_victims_injured,total_number_of_victims,date,shooter_age,shooter_sex,shooter_race,type_of_gun,total_number_of_guns,shooter_cause_of_death,place_type,relationship_to_incident_location,targeted_victims,possible_motive,history_of_mental_illness,military_experience
1,Austin,Texas,30.1988873,-97.84415949,16,32,48,1966-08-01,25,Male,White American or European American,Multiple guns,7,Killed,College/University/Adult education,Place of schooling,General public,Mental illness,Yes,Yes
2,Mesa,Arizona,33.42268696,-111.8163202,5,1,6,1966-11-12,18,Male,White American or European American,Handgun,1,Not applicable,College/University/Adult education,None,Students/Classmates/Teacher,Mental illness,Yes,Unknown
3,New Orleans,Louisiana,30.0687242,-89.93147412,9,13,22,1972-12-31,23,Male,Black American or African American,Multiple guns,2,Killed,Government facility,Local government,Government,Race,Yes,Unknown
4,Chicago,Illinois,41.83928045,-87.68818145,1,3,4,1974-01-17,14,Male,Unknown,Handgun,2,Not applicable,Primary school,Place of schooling,Students/Classmates/Teacher,Expulsion/Suspension,Yes,Unknown
5,Olean,New York,42.08185369,-78.43213922,3,7,10,1974-12-30,17,Male,White American or European American,Multiple guns,2,Not applicable,Secondary school,Place of schooling,General public,Mental illness,No,Unknown
6,Los Angeles,California,34.17622092,-118.5399542,1,7,8,1976-02-19,18,Male,White American or European American,Shotgun,1,Not applicable,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Social dispute,Unknown,Unknown
7,Fullerton,California,33.88404244,-117.92785,7,2,9,1976-07-12,37,Male,White American or European American,Rifle,1,Not applicable,College/University/Adult education,Place of business/employment,Colleague/Workmate/Business acquaintance,Mental illness,Yes,Unknown
8,San Diego,California,32.86357277,-117.1281628,2,9,11,1979-01-29,16,Female,White American or European American,Rifle,1,Not applicable,Primary school,Place of residency,Students/Classmates/Teacher,Mental illness,Yes,Unknown
9,Columbia,South Carolina,34.05098834,-80.82077527,2,5,7,1979-10-06,19,Male,Black American or African American,Handgun,1,Not applicable,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Unknown,Unknown,Unknown
10,Las Vegas,Nevada,36.18931923,-115.3264875,1,2,3,1982-03-19,17,Male,White American or European American,Handgun,1,Not applicable,Secondary school,Place of schooling,Students/Classmates/Teacher,Multiple motives,Yes,Unknown
11,Miami,Florida,25.79653943,-80.20840397,8,3,11,1982-08-20,51,Male,White American or European American,Shotgun,1,Killed,Retail/Wholesale/Services facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Mental illness,Yes,Unknown
12,Seattle,Washington,47.62199575,-122.323646,13,1,14,1983-02-18,22/24/22,Male,Asian American,Handgun,2,Not applicable,Entertainment venue,Place of recreation,General public,Financial difficulties,Unknown,Unknown
13,Johnston,South Carolina,33.83272887,-81.8051584,1,3,4,1983-08-19,55,Male,White American or European American,Shotgun,1,Not applicable,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Multiple motives,Yes,Unknown
14,Los Angeles,California,34.17622092,-118.5399542,2,12,14,1984-02-24,28,Male,Black American or African American,Multiple guns,3,Suicide,Primary school,Place of residency,Students/Classmates/Teacher,Multiple motives,Yes,Unknown
